time_s,K_filt
0.0,0.027497
0.041,0.06663
0.081,0.108708
0.121,0.122037
0.161,0.12041
0.201,0.111788
0.241,0.100297
0.281,0.088247
0.321,0.076724
0.361,0.06619
0.401,0.056791
0.441,0.048658
0.481,0.041676
0.521,0.035753
0.561,0.030593
0.601,0.026021
0.641,0.022025
0.681,0.018542
0.721,0.015644
0.761,0.013144
0.801,0.011033
0.841,0.009259
0.881,0.007835
0.921,0.006647
0.961,0.005595
1.001,0.004601
1.041,0.003849
1.081,0.003274
1.121,0.002899
1.161,0.002475
1.201,0.002069
1.241,0.001678
1.281,0.001445
1.321,0.001255
1.361,0.001108
1.401,0.00088
1.441,0.000702
1.481,0.000503
1.521,0.000308
1.561,8.6e-05
1.601,-4.5e-05
1.641,-9.9e-05
1.681,-9.1e-05
1.721,-9.2e-05
1.761,-7e-06
1.801,7.8e-05
1.841,0.000163
1.881,0.000186
1.921,0.00023
1.961,0.000197
2.001,0.000125
2.041,4.3e-05
2.081,2.1e-05
2.121,-5e-05
2.161,-0.000118
2.201,-0.000205
2.241,-0.000227
2.281,-0.000242
2.321,-0.000199
2.361,-0.000148
2.401,-0.000106
2.441,-1.5e-05
2.481,0.000108
2.521,0.000261
2.561,0.000312
2.601,0.000315
2.641,0.000283
2.681,0.000279
2.721,0.000255
2.761,0.00021
2.801,0.000129
2.841,5.7e-05
2.881,1e-05
2.921,-2.1e-05
2.961,-4e-05
3.001,-0.000141
3.041,-0.000213
3.081,-0.000219
3.121,-0.000113
3.161,3.8e-05
3.201,0.00014
3.241,0.000251
3.281,0.000276
3.321,0.000278
3.361,0.000189
3.401,0.000102
3.441,5.2e-05
3.481,5.7e-05
3.521,4.7e-05
3.561,4.7e-05
3.601,3e-05
3.641,2e-05
3.681,1.4e-05
3.721,2.4e-05
3.761,3e-05
3.801,-1.7e-05
3.841,-2.1e-05
3.881,6.1e-05
3.921,0.000146
3.961,0.000175
4.001,0.000165
4.041,0.000187
4.081,0.00021
4.121,0.000213
4.161,0.000167
4.201,0.000125
4.241,4.7e-05
4.281,-5e-06
4.321,-4.9e-05
4.361,-7.5e-05
4.401,-0.000126
4.441,-0.000171
4.481,-0.000238
4.521,-0.000216
4.561,-0.000167
4.601,-1e-06
4.641,0.000152
4.681,0.000238
4.721,0.000271
4.761,0.000242
4.801,0.000246
4.841,0.000194
4.881,0.000145
4.921,0.000111
4.961,9.7e-05
5.001,7e-05
5.041,2.9e-05
5.081,-2e-06
5.121,-2.3e-05
5.161,-7.7e-05
5.201,-0.000129
5.241,-0.000124
5.281,-2.5e-05
5.321,0.000162
5.361,0.00034
5.401,0.000432
5.441,0.000382
5.481,0.000288
5.521,0.00018
5.561,0.000125
5.601,0.000106
5.641,0.000136
5.681,0.000116
5.721,6.9e-05
5.761,-5.5e-05
5.801,-0.000104
5.841,-0.000157
5.881,-0.000198
5.921,-0.000189
5.961,-0.000108
6.001,4.9e-05
6.041,0.000153
6.081,0.000188
6.121,0.000187
6.161,0.000178
6.201,0.000155
6.241,0.000148
6.281,0.000119
6.321,7.8e-05
6.361,2e-06
6.401,-9e-05
6.441,-0.000152
6.481,-0.000147
6.521,-0.000127
6.561,-4.8e-05
6.601,6.8e-05
6.641,0.000231
6.681,0.000361
6.721,0.000395
6.761,0.000358
6.801,0.000289
6.841,0.000249
6.881,0.000259
6.921,0.000266
6.961,0.000281
7.001,0.000307
7.041,0.000325
7.081,0.000277
7.121,0.000199
7.161,0.000138
7.201,0.000199
7.241,0.000342
7.281,0.000542
7.321,0.000685
7.361,0.000711
7.401,0.000656
7.441,0.000572
7.481,0.00044
7.521,0.000362
7.561,0.000311
7.601,0.000312
7.641,0.00026
7.681,0.000208
7.721,0.000167
7.761,0.000146
7.801,0.000202
7.841,0.000345
7.881,0.000539
7.921,0.000661
7.961,0.000705
8.001,0.000663
8.041,0.000592
8.081,0.000542
8.121,0.000557
8.161,0.000549
8.201,0.000512
8.241,0.000449
8.281,0.000377
8.321,0.000333
8.361,0.00023
8.401,0.000158
8.441,0.000153
8.481,0.000278
8.521,0.00043
8.561,0.000483
8.601,0.000498
8.641,0.000488
8.681,0.000486
8.721,0.000432
8.761,0.000354
8.801,0.000291
8.841,0.000233
8.881,0.000199
8.921,0.000152
8.961,9.1e-05
9.001,4.7e-05
9.041,6.8e-05
9.081,0.000194
9.121,0.000325
9.161,0.0004
9.201,0.000372
9.241,0.000311
9.281,0.000282
9.321,0.000269
9.361,0.000253
9.401,0.000238
9.441,0.000156
9.481,6.8e-05
9.521,-4.7e-05
9.561,-8e-05
9.601,-0.000111
9.641,-0.000205
9.681,-0.000301
9.721,-0.000328
9.761,-0.000299
9.801,-0.000202
9.841,-6.1e-05
9.881,0.000154
9.921,0.000296
9.961,0.000352
10.001,0.000383
10.041,0.000379
10.081,0.000308
10.121,0.000159
10.161,4.6e-05
10.201,1.1e-05
10.241,-2e-05
10.281,-7.4e-05
10.321,-0.000167
10.361,-0.0003
10.401,-0.000416
10.441,-0.000472
10.481,-0.000451
10.521,-0.000388
10.561,-0.000326
10.601,-0.00018
10.641,2.5e-05
10.681,0.000136
10.721,0.00019
10.761,0.000143
10.801,0.000138
10.841,7.2e-05
10.881,2.8e-05
10.921,-1.7e-05
10.961,-3.7e-05
11.001,-9.5e-05
11.041,-0.000175
11.081,-0.00028
11.121,-0.000338
11.161,-0.000387
11.201,-0.000426
11.241,-0.000494
11.281,-0.000518
11.321,-0.000515
11.361,-0.000491
11.401,-0.00039
11.441,-0.000226
11.481,-0.0
11.521,0.000149
11.561,0.000242
11.601,0.000186
11.641,0.000179
11.681,0.000147
11.721,0.000102
11.761,-5.4e-05
11.801,-0.000185
11.841,-0.000234
11.881,-0.000205
11.921,-0.000199
11.961,-0.000184
12.001,-0.000192
12.041,-0.000198
12.081,-0.000266
12.121,-0.000374
12.161,-0.000476
12.201,-0.000418
12.241,-0.000282
12.281,-5.7e-05
12.321,7.5e-05
12.361,0.000194
12.401,0.000192
12.441,0.000195
12.481,0.000182
12.521,0.00019
12.561,0.000118
12.601,-9e-06
12.641,-0.000131
12.681,-0.000186
12.721,-0.000251
12.761,-0.000303
12.801,-0.000401
12.841,-0.000418
12.881,-0.00043
12.921,-0.000381
12.961,-0.000357
13.001,-0.000253
13.041,-0.00011
13.081,6.8e-05
13.121,0.000196
13.161,0.000235
13.201,0.000212
13.241,0.000164
13.281,0.000145
13.321,0.000124
13.361,9.7e-05
13.401,0.000122
13.441,0.000195
13.481,0.00026
13.521,0.000217
13.561,0.000142
13.601,3e-06
13.641,-7.7e-05
13.681,-0.000212
13.721,-0.000289
13.761,-0.000341
13.801,-0.000228
13.841,-2.2e-05
13.881,0.000158
13.921,0.00025
13.961,0.000306
14.001,0.000356
14.041,0.000341
14.081,0.000274
14.121,0.000242
14.161,0.000252
14.201,0.000241
14.241,0.0002
14.281,0.000152
14.321,0.000103
14.361,4.3e-05
14.401,-4.2e-05
14.441,-9.6e-05
14.481,-0.000122
14.521,-8.2e-05
14.561,6.7e-05
14.601,0.000242
14.641,0.000445
14.681,0.000519
14.721,0.00052
14.761,0.000451
14.801,0.000398
14.841,0.000334
14.881,0.000256
14.921,0.000228
14.961,0.000231
15.001,0.000237
15.041,0.000181
15.081,9.7e-05
15.121,5.7e-05
15.161,-1.6e-05
15.201,-2e-06
15.241,6.5e-05
15.281,0.000255
15.321,0.000397
15.361,0.000447
15.401,0.000411
15.441,0.000358
15.481,0.000343
15.521,0.000357
15.561,0.000337
15.601,0.000258
15.641,0.000183
15.681,9.8e-05
15.721,1.7e-05
15.761,-9.8e-05
15.801,-0.000201
15.841,-0.000233
15.881,-0.000248
15.921,-0.000144
15.961,2.5e-05
16.001,0.000232
16.041,0.000346
16.081,0.000349
16.121,0.000322
16.161,0.000245
16.201,0.000164
16.241,0.000106
16.281,8e-05
16.321,4e-05
16.361,-6e-06
16.401,-1.7e-05
16.441,-2e-05
16.481,-6.2e-05
16.521,-0.000147
16.561,-0.000182
16.601,-0.00018
16.641,-9.6e-05
16.681,5e-05
16.721,0.000211
16.761,0.000332
16.801,0.000411
16.841,0.000423
16.881,0.000417
16.921,0.000356
16.961,0.000283
17.001,0.000203
17.041,8e-05
17.081,-7e-06
17.121,-0.00011
17.161,-0.000171
17.201,-0.000258
17.241,-0.000238
17.281,-0.00024
17.321,-0.000242
17.361,-0.00027
17.401,-0.000229
17.441,-7.1e-05
17.481,9.6e-05
17.521,0.000265
17.561,0.000387
17.601,0.000447
17.641,0.000468
17.681,0.000409
17.721,0.000355
17.761,0.000281
17.801,0.000229
17.841,0.000155
17.881,6.7e-05
17.921,-3.8e-05
17.961,-0.000151
18.001,-0.000164
18.041,-0.000125
18.081,-9.9e-05
18.121,-9.9e-05
18.161,-3e-05
18.201,0.000178
18.241,0.0004
18.281,0.000579
18.321,0.000651
18.361,0.000605
18.401,0.000496
18.441,0.000385
18.481,0.000328
18.521,0.000321
18.561,0.000333
18.601,0.000319
18.641,0.000223
18.681,3.2e-05
18.721,-0.000109
18.761,-0.000173
18.801,-0.000126
18.841,-0.000156
18.881,-0.000173
18.921,-0.000186
18.961,-4.2e-05
19.001,0.000116
19.041,0.000253
19.081,0.000312
19.121,0.000331
19.161,0.000373
19.201,0.000357
19.241,0.000323
19.281,0.000286
19.321,0.000254
19.361,0.000196
19.401,0.000126
19.441,9.5e-05
19.481,9.3e-05
19.521,5.4e-05
19.561,-4.3e-05
19.601,-0.000112
19.641,-0.000184
19.681,-0.000123
19.721,1.4e-05
19.761,0.000271
19.801,0.000495
19.841,0.00063
19.881,0.000673
19.921,0.000657
19.961,0.0006
20.001,0.000519
20.041,0.000475
20.081,0.000424
20.121,0.000367
20.161,0.000266
20.201,0.000206
20.241,0.00016
20.281,7.2e-05
20.321,-4e-05
20.361,-0.000157
20.401,-0.000137
20.441,5.9e-05
20.481,0.000325
20.521,0.000535
20.561,0.000593
20.601,0.000592
20.641,0.000528
20.681,0.000467
20.721,0.000461
20.761,0.000455
20.801,0.000452
20.841,0.000359
20.881,0.000298
20.921,0.000213
20.961,0.000178
21.001,0.00014
21.041,0.000123
21.081,0.000178
21.121,0.000285
21.161,0.000481
21.201,0.000578
21.241,0.000673
21.281,0.000652
21.321,0.000616
21.361,0.000543
21.401,0.000531
21.441,0.000496
21.481,0.000417
21.521,0.000254
21.561,0.000156
21.601,7.7e-05
21.641,2.8e-05
21.681,-5.1e-05
21.721,-7.3e-05
21.761,-2e-05
21.801,0.000153
21.841,0.000359
21.881,0.000537
21.921,0.000602
21.961,0.000589
22.001,0.000553
22.041,0.000463
22.081,0.000388
22.121,0.000322
22.161,0.000272
22.201,0.000208
22.241,0.000145
22.281,0.000142
22.321,8.5e-05
22.361,-9e-06
22.401,-4.8e-05
22.441,7.6e-05
22.481,0.000277
22.521,0.000401
22.561,0.000439
22.601,0.000445
22.641,0.000475
22.681,0.000503
22.721,0.00041
22.761,0.000297
22.801,0.000228
22.841,0.000189
22.881,0.000153
22.921,2.8e-05
22.961,-8e-05
23.001,-0.000181
23.041,-0.000208
23.081,-0.000127
23.121,5.4e-05
23.161,0.000208
23.201,0.000315
23.241,0.000293
23.281,0.000266
23.321,0.000205
23.361,0.000173
23.401,0.000122
23.441,8.2e-05
23.481,1.8e-05
23.521,-2.9e-05
23.561,-0.000102
23.601,-0.000165
23.641,-0.000255
23.681,-0.000277
23.721,-0.000332
23.761,-0.000305
23.801,-0.000199
23.841,4.7e-05
23.881,0.000265
23.921,0.000364
23.961,0.000349
24.001,0.000269
24.041,0.000136
24.081,3e-06
24.121,-9.8e-05
24.161,-0.000102
24.201,-9e-05
24.241,-9.6e-05
24.281,-0.000129
24.321,-0.000196
24.361,-0.000271
24.401,-0.000331
24.441,-0.000393
24.481,-0.00043
24.521,-0.000416
24.561,-0.000283
24.601,-8e-05
24.641,5.7e-05
24.681,0.000157
24.721,0.000187
24.761,0.000168
24.801,9.2e-05
24.841,3e-05
24.881,2.1e-05
24.921,1.7e-05
24.961,2e-05
25.001,-2.4e-05
25.041,-0.000101
25.081,-0.000197
25.121,-0.000273
25.161,-0.000351
25.201,-0.000424
25.241,-0.000398
25.281,-0.000365
25.321,-0.000263
25.361,-0.000153
25.401,4.4e-05
25.441,0.000237
25.481,0.000324
25.521,0.000343
25.561,0.000289
25.601,0.00028
25.641,0.0003
25.681,0.000305
25.721,0.000239
25.761,0.000148
25.801,6.3e-05
25.841,-5e-06
25.881,-0.000106
25.921,-0.000223
25.961,-0.0003
26.001,-0.000397
26.041,-0.000427
26.081,-0.000468
26.121,-0.000392
26.161,-0.000262
26.201,-3.6e-05
26.241,0.000195
26.281,0.000332
26.321,0.0004
26.361,0.000363
26.401,0.000321
26.441,0.000231
26.481,0.000219
26.521,0.000235
26.561,0.000276
26.601,0.000248
26.641,0.000197
26.681,0.000102
26.721,2e-05
26.761,-9.3e-05
26.801,-0.000156
26.841,-0.000197
26.881,-0.000232
26.921,-0.000191
26.961,-0.00011
27.001,9.2e-05
27.041,0.000276
27.081,0.000373
27.121,0.000406
27.161,0.000349
27.201,0.000324
27.241,0.000303
27.281,0.000279
27.321,0.000193
27.361,7.8e-05
27.401,-1.8e-05
27.441,-4.7e-05
27.481,-8.8e-05
27.521,-0.000154
27.561,-0.000249
27.601,-0.000335
27.641,-0.000329
27.681,-0.000311
27.721,-0.000263
27.761,-0.000204
27.801,2.3e-05
27.841,0.000279
27.881,0.00041
27.921,0.00039
27.961,0.000314
28.001,0.000291
28.041,0.000282
28.081,0.000266
28.121,0.000205
28.161,0.000129
28.201,-8e-06
28.241,-0.000107
28.281,-0.000157
28.321,-0.000144
28.361,-0.000115
28.401,-0.000116
28.441,-7.9e-05
28.481,4.5e-05
28.521,0.000183
28.561,0.000385
28.601,0.000528
28.641,0.000605
28.681,0.000584
28.721,0.000524
28.761,0.000494
28.801,0.000469
28.841,0.000416
28.881,0.000369
28.921,0.000318
28.961,0.000289
29.001,0.000239
29.041,0.000166
29.081,4.6e-05
29.121,-2.5e-05
29.161,-5.9e-05
29.201,6.3e-05
29.241,0.000217
29.281,0.000433
29.321,0.000546
29.361,0.000577
29.401,0.000497
29.441,0.000413
29.481,0.000384
29.521,0.000333
29.561,0.000276
29.601,0.000173
29.641,0.000119
29.681,-2e-06
29.721,-7.9e-05
29.761,-0.000148
29.801,-9.5e-05
29.841,2.3e-05
29.881,0.000198
29.921,0.000357
29.961,0.000431
30.001,0.000453
30.041,0.000397
30.081,0.000296
30.121,0.000235
30.161,0.000248
30.201,0.000289
30.241,0.000272
30.281,0.000183
30.321,4.8e-05
30.361,-8.3e-05
30.401,-0.000218
30.441,-0.000267
30.481,-0.000237
30.521,-6.2e-05
30.561,0.000122
30.601,0.00027
30.641,0.000292
30.681,0.000277
30.721,0.000191
30.761,0.000149
30.801,9.6e-05
30.841,0.000141
30.881,0.000161
30.921,0.000135
30.961,4.8e-05
31.001,-3.5e-05
31.041,-6e-05
31.081,-0.000128
31.121,-0.000194
31.161,-0.000147
31.201,-1.6e-05
31.241,0.000149
31.281,0.000229
31.321,0.000323
31.361,0.000323
31.401,0.00025
31.441,0.000109
31.481,7.1e-05
31.521,6.6e-05
31.561,1.6e-05
31.601,-6.4e-05
31.641,-0.000101
31.681,-7.7e-05
31.721,-8.2e-05
31.761,-0.000124
31.801,-6.9e-05
31.841,0.000105
31.881,0.000296
31.921,0.000417
31.961,0.000439
32.001,0.000425
32.041,0.000357
32.081,0.000313
32.121,0.000271
32.161,0.000195
32.201,0.000103
32.241,-2.6e-05
32.281,-0.00013
32.321,-0.000243
32.361,-0.000312
32.401,-0.000321
32.441,-0.000359
32.481,-0.000438
32.521,-0.000474
32.561,-0.000353
32.601,-8.9e-05
32.641,0.000135
32.681,0.000263
32.721,0.000342
32.761,0.000358
32.801,0.000304
32.841,0.000236
32.881,0.000186
32.921,0.000168
32.961,0.00011
33.001,3.6e-05
33.041,-6.4e-05
33.081,-0.000166
33.121,-0.000242
33.161,-0.00032
33.201,-0.000372
33.241,-0.000404
33.281,-0.000375
33.321,-0.000289
33.361,-7.2e-05
33.401,0.000167
33.441,0.000322
33.481,0.000344
33.521,0.000335
33.561,0.000312
33.601,0.000297
33.641,0.000254
33.681,0.000255
33.721,0.000217
33.761,0.000134
33.801,6e-05
33.841,-6e-06
33.881,-4.3e-05
33.921,-9.8e-05
33.961,-0.000155
34.001,-0.000192
34.041,-0.000204
34.081,-0.000149
34.121,-4.5e-05
34.161,9.8e-05
34.201,0.00024
34.241,0.000365
34.281,0.000393
34.321,0.000411
34.361,0.000401
34.401,0.000465
34.441,0.000433
34.481,0.000457
34.521,0.000405
34.561,0.000386
34.601,0.00026
34.641,0.000154
34.681,8.5e-05
34.721,2.6e-05
34.761,3.9e-05
34.801,8.2e-05
34.841,0.000261
34.881,0.000491
34.921,0.00063
34.961,0.00069
35.001,0.000584
35.041,0.000504
35.081,0.000358
35.121,0.000295
35.161,0.000318
35.201,0.000355
35.241,0.000327
35.281,0.000206
35.321,0.000102
35.361,5.8e-05
35.401,1.6e-05
35.441,5.7e-05
35.481,0.000172
35.521,0.00035
35.561,0.000477
35.601,0.000547
35.641,0.000541
35.681,0.000456
35.721,0.000327
35.761,0.000239
35.801,0.000218
35.841,0.000198
35.881,0.00018
35.921,0.000174
35.961,0.000178
36.001,0.00019
36.041,0.000185
36.081,7.8e-05
36.121,3.5e-05
36.161,0.0001
36.201,0.000392
36.241,0.000632
36.281,0.000746
36.321,0.000727
36.361,0.000658
36.401,0.000603
36.441,0.000482
36.481,0.000371
36.521,0.000185
36.561,4.3e-05
36.601,-7e-05
36.641,-9.8e-05
36.681,-9.4e-05
36.721,-0.000157
36.761,-0.000219
36.801,-0.000174
36.841,6e-06
36.881,0.000202
36.921,0.000333
36.961,0.000363
37.001,0.000374
37.041,0.000274
37.081,0.000224
37.121,0.00015
37.161,0.000151
37.201,8.5e-05
37.241,4.5e-05
37.281,-5.3e-05
37.321,-9.1e-05
37.361,-0.000195
37.401,-0.000265
37.441,-0.00034
37.481,-0.000315
37.521,-0.000177
37.561,-6e-06
37.601,0.000161
37.641,0.000291
37.681,0.000313
37.721,0.000324
37.761,0.000192
37.801,0.000136
37.841,9.3e-05
37.881,8.9e-05
37.921,3.4e-05
37.961,-5.9e-05
38.001,-0.000141
38.041,-0.000175
38.081,-0.000253
38.121,-0.000303
38.161,-0.000371
38.201,-0.000309
38.241,-0.000118
38.281,0.000138
38.321,0.000301
38.361,0.000428
38.401,0.000458
38.441,0.000425
38.481,0.000306
38.521,0.000186
38.561,0.000132
38.601,8.4e-05
38.641,7.7e-05
38.681,4.3e-05
38.721,1.2e-05
38.761,-0.000103
38.801,-0.000202
38.841,-0.000291
38.881,-0.000313
38.921,-0.000288
