time_s,K_filt
0.0,0.022379
0.041,0.05422
0.081,0.08846
0.121,0.099212
0.161,0.097798
0.201,0.090675
0.241,0.081336
0.281,0.07154
0.321,0.062159
0.361,0.05358
0.401,0.04593
0.441,0.039238
0.481,0.033397
0.521,0.028407
0.561,0.024198
0.601,0.02067
0.641,0.017616
0.681,0.014912
0.721,0.012449
0.761,0.010341
0.801,0.008544
0.841,0.007087
0.881,0.005877
0.921,0.004933
0.961,0.004163
1.001,0.003548
1.041,0.00305
1.081,0.002743
1.121,0.002532
1.161,0.002375
1.201,0.002169
1.241,0.001904
1.281,0.001608
1.321,0.001339
1.361,0.001082
1.401,0.000841
1.441,0.0006
1.481,0.000424
1.521,0.000291
1.561,0.000217
1.601,0.000191
1.641,0.000287
1.681,0.000482
1.721,0.000654
1.761,0.000736
1.801,0.000704
1.841,0.000701
1.881,0.000676
1.921,0.000697
1.961,0.000691
2.001,0.000679
2.041,0.00063
2.081,0.000568
2.121,0.00049
2.161,0.000433
2.201,0.000444
2.241,0.000503
2.281,0.00055
2.321,0.000523
2.361,0.000437
2.401,0.000334
2.441,0.000259
2.481,0.000302
2.521,0.000354
2.561,0.000394
2.601,0.000347
2.641,0.000308
2.681,0.000294
2.721,0.000346
2.761,0.000527
2.801,0.000809
2.841,0.001107
2.881,0.00131
2.921,0.001471
2.961,0.001603
3.001,0.001777
3.041,0.001927
3.081,0.002101
3.121,0.002188
3.161,0.002223
3.201,0.002173
3.241,0.00203
3.281,0.001825
3.321,0.001679
3.361,0.001625
3.401,0.001594
3.441,0.001445
3.481,0.001237
3.521,0.001044
3.561,0.000935
3.601,0.000855
3.641,0.000769
3.681,0.000671
3.721,0.000517
3.761,0.000342
3.801,0.00022
3.841,0.000362
3.881,0.000733
3.921,0.001185
3.961,0.001474
4.001,0.001474
4.041,0.001104
4.081,0.000502
4.121,-0.000179
4.161,-0.000734
4.201,-0.001072
4.241,-0.001244
4.281,-0.00127
4.321,-0.001227
4.361,-0.001094
4.401,-0.000927
4.441,-0.000584
4.481,-6.5e-05
4.521,0.000433
4.561,0.000628
4.601,0.000488
4.641,0.000263
4.681,9.6e-05
4.721,7.5e-05
4.761,0.00014
4.801,0.000276
4.841,0.000378
4.881,0.00044
4.921,0.000433
4.961,0.000379
5.001,0.000275
5.041,0.000186
5.081,0.000234
5.121,0.000389
5.161,0.00058
5.201,0.000622
5.241,0.000569
5.281,0.000422
5.321,0.000279
5.361,0.000174
5.401,7e-05
5.441,-5.3e-05
5.481,-0.000178
5.521,-0.000274
5.561,-0.000329
5.601,-0.000395
5.641,-0.000411
5.681,-0.000312
5.721,-9.8e-05
5.761,0.000126
5.801,0.000252
5.841,0.000293
5.881,0.000239
5.921,0.000154
5.961,2.1e-05
6.001,-4.2e-05
6.041,-0.000101
6.081,-0.000144
6.121,-0.000157
6.161,-0.000118
6.201,-2.6e-05
6.241,0.0
6.281,6.1e-05
6.321,0.000139
6.361,0.000334
6.401,0.000585
6.441,0.000833
6.481,0.000995
6.521,0.000932
6.561,0.000801
6.601,0.00062
6.641,0.000538
6.681,0.000457
6.721,0.000319
6.761,0.000131
6.801,-8.1e-05
6.841,-0.000194
6.881,-0.000271
6.921,-0.000319
6.961,-0.000404
7.001,-0.000471
7.041,-0.000422
7.081,-0.000281
7.121,-4.9e-05
7.161,7.4e-05
7.201,0.000136
7.241,0.000106
7.281,7.2e-05
7.321,1.3e-05
7.361,-8.9e-05
7.401,-0.000224
7.441,-0.00033
7.481,-0.000427
7.521,-0.000501
7.561,-0.000558
7.601,-0.000571
7.641,-0.000588
7.681,-0.000635
7.721,-0.000641
7.761,-0.000496
7.801,-0.000224
7.841,6.1e-05
7.881,0.000225
7.921,0.000263
7.961,0.000235
8.001,0.000168
8.041,0.000104
8.081,-3e-06
8.121,-7.6e-05
8.161,-0.000186
8.201,-0.000247
8.241,-0.000287
8.281,-0.000279
8.321,-0.000294
8.361,-0.000333
8.401,-0.000403
8.441,-0.000407
8.481,-0.000358
8.521,-0.000183
8.561,3.4e-05
8.601,0.000263
8.641,0.000354
8.681,0.000329
8.721,0.000205
8.761,0.000107
8.801,1.1e-05
8.841,-9e-05
8.881,-0.000218
8.921,-0.000345
8.961,-0.00046
9.001,-0.000534
9.041,-0.000552
9.081,-0.000527
9.121,-0.000488
9.161,-0.000399
9.201,-0.000206
9.241,0.000118
9.281,0.000457
9.321,0.000678
9.361,0.000751
9.401,0.000705
9.441,0.00069
9.481,0.000662
9.521,0.000619
9.561,0.00049
9.601,0.00035
9.641,0.000189
9.681,3.2e-05
9.721,-0.000108
9.761,-0.000195
9.801,-0.000226
9.841,-0.000211
9.881,-8.5e-05
9.921,9.8e-05
9.961,0.000323
10.001,0.000443
10.041,0.000542
10.081,0.000518
10.121,0.000532
10.161,0.000486
10.201,0.000494
10.241,0.000465
10.281,0.000393
10.321,0.000284
10.361,0.00019
10.401,0.000149
10.441,0.000113
10.481,7.2e-05
10.521,0.000127
10.561,0.000301
10.601,0.000548
10.641,0.000743
10.681,0.00085
10.721,0.000864
10.761,0.00082
10.801,0.000753
10.841,0.000656
10.881,0.000572
10.921,0.000501
10.961,0.000448
11.001,0.00036
11.041,0.000239
11.081,0.000143
11.121,8.2e-05
11.161,8.2e-05
11.201,0.000178
11.241,0.000449
11.281,0.000789
11.321,0.001046
11.361,0.001103
11.401,0.001043
11.441,0.000956
11.481,0.000837
11.521,0.000702
11.561,0.000558
11.601,0.000475
11.641,0.000358
11.681,0.00028
11.721,0.000199
11.761,0.000135
11.801,2.1e-05
11.841,-2.4e-05
11.881,0.000126
11.921,0.000456
11.961,0.000762
12.001,0.000959
12.041,0.001004
12.081,0.000987
12.121,0.000862
12.161,0.00072
12.201,0.000613
12.241,0.000511
12.281,0.000397
12.321,0.000221
12.361,4.9e-05
12.401,-8.5e-05
12.441,-0.000163
12.481,-0.00023
12.521,-0.000293
12.561,-0.000339
12.601,-0.000212
12.641,-6e-06
12.681,0.00027
12.721,0.000463
12.761,0.000582
12.801,0.000603
12.841,0.000565
12.881,0.000489
12.921,0.000379
12.961,0.00028
13.001,0.000188
13.041,0.000124
13.081,4.6e-05
13.121,-5.1e-05
13.161,-0.00015
13.201,-0.000245
13.241,-0.000299
13.281,-0.000324
13.321,-0.000342
13.361,-0.000244
13.401,-8.2e-05
13.441,0.000138
13.481,0.000332
13.521,0.00045
13.561,0.000505
13.601,0.000417
13.641,0.000325
13.681,0.000236
13.721,0.000126
13.761,6e-06
13.801,-9e-05
13.841,-0.000134
13.881,-0.000198
13.921,-0.000278
13.961,-0.000324
14.001,-0.000391
14.041,-0.000456
