time_s,K_filt
0.0,0.007735
0.041,0.018758
0.081,0.0306
0.121,0.034366
0.161,0.033936
0.201,0.031564
0.241,0.028334
0.281,0.024884
0.321,0.021546
0.361,0.018513
0.401,0.015806
0.441,0.013456
0.481,0.011434
0.521,0.009687
0.561,0.00819
0.601,0.006973
0.641,0.00612
0.681,0.005486
0.721,0.004904
0.761,0.004274
0.801,0.003691
0.841,0.003216
0.881,0.002864
0.921,0.002586
0.961,0.002341
1.001,0.002095
1.041,0.001813
1.081,0.001537
1.121,0.00129
1.161,0.001054
1.201,0.000839
1.241,0.000596
1.281,0.00039
1.321,0.000212
1.361,0.000103
1.401,3.2e-05
1.441,7e-06
1.481,-1.9e-05
1.521,5.5e-05
1.561,0.000234
1.601,0.000454
1.641,0.000576
1.681,0.000563
1.721,0.000517
1.761,0.00046
1.801,0.000419
1.841,0.000398
1.881,0.000423
1.921,0.00043
1.961,0.000432
2.001,0.000369
2.041,0.000307
2.081,0.000221
2.121,0.000174
2.161,0.000152
2.201,0.000138
2.241,0.000123
2.281,6.3e-05
2.321,-6e-06
2.361,-2.9e-05
2.401,8.8e-05
2.441,0.000336
2.481,0.000535
2.521,0.000618
2.561,0.000592
2.601,0.000576
2.641,0.000569
2.681,0.000559
2.721,0.000548
2.761,0.00054
2.801,0.000494
2.841,0.000452
2.881,0.000421
2.921,0.000409
2.961,0.000381
3.001,0.00035
3.041,0.00029
3.081,0.000202
3.121,0.000121
3.161,0.000145
3.201,0.000273
3.241,0.000407
3.281,0.000474
3.321,0.000515
3.361,0.000526
3.401,0.000554
3.441,0.000556
3.481,0.000559
3.521,0.000505
3.561,0.000425
3.601,0.000345
3.641,0.000299
3.681,0.000267
3.721,0.0002
3.761,8.3e-05
3.801,-0.000101
3.841,-0.000235
3.881,-0.00024
3.921,-7e-05
3.961,0.000138
4.001,0.00028
4.041,0.000299
4.081,0.000266
4.121,0.000237
4.161,0.000227
4.201,0.000247
4.241,0.000296
4.281,0.000331
4.321,0.00032
4.361,0.000239
4.401,0.000129
4.441,5.2e-05
4.481,-5.4e-05
4.521,-0.000146
4.561,-0.000251
4.601,-0.000184
4.641,7e-06
4.681,0.000244
4.721,0.000343
4.761,0.000288
4.801,0.00019
4.841,9.6e-05
4.881,6.6e-05
4.921,5.6e-05
4.961,3.7e-05
5.001,1.7e-05
5.041,-2.8e-05
5.081,-5.9e-05
5.121,-0.000127
5.161,-0.000186
5.201,-0.000267
5.241,-0.000339
5.281,-0.00039
5.321,-0.000286
5.361,-6.2e-05
5.401,0.000209
5.441,0.000377
5.481,0.000428
5.521,0.000384
5.561,0.000295
5.601,0.000203
5.641,0.000158
5.681,0.000149
5.721,0.00013
5.761,8e-05
5.801,4e-06
5.841,-4.6e-05
5.881,-9e-05
5.921,-0.000154
5.961,-0.000271
6.001,-0.000386
6.041,-0.00045
6.081,-0.000472
6.121,-0.000466
6.161,-0.000415
6.201,-0.000239
6.241,-2.9e-05
6.281,0.000174
6.321,0.000256
6.361,0.000258
6.401,0.000207
6.441,0.000124
6.481,6.2e-05
6.521,9e-06
6.561,-2.4e-05
6.601,-6.9e-05
6.641,-0.00013
6.681,-0.000229
6.721,-0.000334
6.761,-0.000422
6.801,-0.000463
6.841,-0.000486
6.881,-0.000505
