time_s,K_filt
0.0,0.005344
0.041,0.012927
0.081,0.02111
0.121,0.023738
0.161,0.023509
0.201,0.021925
0.241,0.019749
0.281,0.017411
0.321,0.015113
0.361,0.012971
0.401,0.011099
0.441,0.009531
0.481,0.008251
0.521,0.007127
0.561,0.006162
0.601,0.005312
0.641,0.004613
0.681,0.003991
0.721,0.003488
0.761,0.003052
0.801,0.002688
0.841,0.00234
0.881,0.001998
0.921,0.001642
0.961,0.001339
1.001,0.001194
1.041,0.001184
1.081,0.001184
1.121,0.001118
1.161,0.00101
1.201,0.000939
1.241,0.000875
1.281,0.00079
1.321,0.000676
1.361,0.000568
1.401,0.000482
1.441,0.000398
1.481,0.000263
1.521,0.000153
1.561,0.000104
1.601,0.000123
1.641,0.00015
1.681,0.000168
1.721,0.00019
1.761,0.000213
1.801,0.000238
1.841,0.000227
1.881,0.000181
1.921,0.000117
1.961,8.6e-05
2.001,3.7e-05
2.041,1e-06
2.081,-3e-06
2.121,9.8e-05
2.161,0.00021
2.201,0.000288
2.241,0.000285
2.281,0.000261
2.321,0.000216
2.361,0.000209
2.401,0.000185
2.441,0.00022
2.481,0.000215
2.521,0.000205
2.561,0.000135
2.601,1.9e-05
2.641,-7.9e-05
2.681,-9.4e-05
2.721,1.2e-05
2.761,0.00017
2.801,0.000301
2.841,0.000348
2.881,0.000346
2.921,0.000326
2.961,0.000299
3.001,0.000256
3.041,0.000215
3.081,0.000196
3.121,0.000183
3.161,0.000152
3.201,7.9e-05
3.241,-2.3e-05
3.281,-0.000124
3.321,-0.000111
3.361,-4.3e-05
3.401,3.7e-05
3.441,5.9e-05
3.481,6.8e-05
3.521,5.3e-05
3.561,2.5e-05
3.601,-3.8e-05
3.641,-9.7e-05
3.681,-0.000174
3.721,-0.000232
3.761,-0.000311
3.801,-0.000402
3.841,-0.000495
3.881,-0.000546
3.921,-0.000483
3.961,-0.000366
4.001,-0.000215
4.041,-0.000112
4.081,-7.5e-05
4.121,-0.000109
4.161,-0.000184
4.201,-0.00025
4.241,-0.000279
4.281,-0.000275
4.321,-0.000256
4.361,-0.000248
4.401,-0.000233
4.441,-0.000265
4.481,-0.000276
4.521,-0.000258
4.561,-0.000153
4.601,-3.1e-05
4.641,4.6e-05
4.681,9e-05
4.721,0.000126
4.761,0.000182
4.801,0.000278
4.841,0.000383
4.881,0.000496
4.921,0.000547
4.961,0.000577
5.001,0.000524
5.041,0.000448
5.081,0.000292
5.121,0.000185
5.161,0.000122
5.201,0.000161
5.241,0.000201
5.281,0.000228
5.321,0.000184
5.361,0.000148
5.401,0.00015
5.441,0.000239
5.481,0.000389
5.521,0.000559
5.561,0.000721
5.601,0.000787
5.641,0.000754
5.681,0.00062
5.721,0.000502
5.761,0.000476
5.801,0.000579
5.841,0.000729
5.881,0.000836
5.921,0.00085
5.961,0.000824
6.001,0.000804
6.041,0.000842
6.081,0.000877
6.121,0.000882
6.161,0.000823
6.201,0.000712
6.241,0.000586
6.281,0.000425
6.321,0.000282
6.361,0.000178
6.401,0.000204
6.441,0.000303
6.481,0.000412
6.521,0.000433
6.561,0.000376
6.601,0.000286
6.641,0.000206
6.681,0.000156
6.721,0.000119
6.761,8e-05
6.801,6e-05
6.841,-6e-06
6.881,-8.6e-05
6.921,-0.000198
6.961,-0.000247
7.001,-0.00018
7.041,-3.6e-05
7.081,0.000103
7.121,0.000136
7.161,0.000108
7.201,4.8e-05
7.241,-1e-06
7.281,-5.2e-05
7.321,-7.3e-05
7.361,-0.000104
7.401,-0.000149
7.441,-0.000228
7.481,-0.000301
7.521,-0.000355
7.561,-0.000361
7.601,-0.000309
7.641,-0.000209
7.681,-8.1e-05
7.721,-1e-06
7.761,3.1e-05
7.801,-4e-06
7.841,-5.7e-05
7.881,-7.7e-05
7.921,-8.4e-05
7.961,-8.2e-05
8.001,-0.000116
8.041,-0.000169
8.081,-0.00026
8.121,-0.000377
8.161,-0.000507
8.201,-0.000603
8.241,-0.000612
8.281,-0.000456
8.321,-0.000257
8.361,-9.7e-05
8.401,-7e-05
8.441,-7.3e-05
8.481,-0.000102
8.521,-0.000139
8.561,-0.000184
8.601,-0.000207
8.641,-0.000193
8.681,-0.000183
8.721,-0.000198
8.761,-0.000245
8.801,-0.000283
8.841,-0.000335
8.881,-0.000401
8.921,-0.000423
8.961,-0.000336
9.001,-0.000168
9.041,-6.4e-05
9.081,-3.1e-05
9.121,-7.7e-05
9.161,-7.8e-05
9.201,-0.000101
9.241,-0.00012
9.281,-0.000164
9.321,-0.000184
9.361,-0.000188
9.401,-0.000208
9.441,-0.00028
9.481,-0.000368
9.521,-0.00045
9.561,-0.000495
9.601,-0.000536
9.641,-0.000553
9.681,-0.000467
9.721,-0.00031
9.761,-0.000172
9.801,-0.000131
9.841,-0.000179
9.881,-0.000218
9.921,-0.00023
9.961,-0.000191
10.001,-0.000151
10.041,-0.000115
10.081,-9.7e-05
10.121,-8.4e-05
10.161,-0.000106
10.201,-0.000127
10.241,-0.000186
10.281,-0.000229
10.321,-0.00028
10.361,-0.000283
10.401,-0.000248
10.441,-0.000147
10.481,-2.5e-05
10.521,6.9e-05
10.561,6.7e-05
10.601,2.6e-05
10.641,-4.4e-05
10.681,-5.7e-05
10.721,-5.5e-05
10.761,-3.2e-05
10.801,9e-06
10.841,6.6e-05
10.881,9.5e-05
10.921,7.3e-05
10.961,-1.7e-05
11.001,-8e-05
11.041,-0.000157
11.081,-0.00017
11.121,-0.000147
11.161,-3.7e-05
11.201,6.7e-05
11.241,9.4e-05
11.281,7e-05
11.321,2.1e-05
11.361,6e-06
11.401,2.4e-05
11.441,7.3e-05
11.481,0.000127
11.521,0.00015
11.561,0.00017
11.601,0.000152
11.641,7.6e-05
11.681,-4.8e-05
11.721,-0.000148
11.761,-0.000174
11.801,-0.00013
11.841,-6.4e-05
11.881,1.8e-05
11.921,0.000105
11.961,0.000201
12.001,0.000232
12.041,0.000176
12.081,6.8e-05
12.121,1.6e-05
12.161,6e-06
12.201,5.4e-05
12.241,4.6e-05
12.281,7.9e-05
12.321,7.5e-05
12.361,6.1e-05
12.401,-5.3e-05
12.441,-0.000185
12.481,-0.000281
12.521,-0.000325
12.561,-0.00034
12.601,-0.000306
12.641,-0.000194
12.681,-6.8e-05
12.721,-3e-06
12.761,-2.1e-05
12.801,-6.5e-05
12.841,-9.2e-05
12.881,-8e-05
12.921,-5.3e-05
12.961,-1e-05
13.001,-2.7e-05
13.041,-7.6e-05
13.081,-0.000146
13.121,-0.000209
13.161,-0.000257
13.201,-0.000332
13.241,-0.000353
13.281,-0.000316
13.321,-0.000163
13.361,-3e-06
13.401,6.8e-05
13.441,2.7e-05
13.481,-4e-05
13.521,-6.5e-05
13.561,3e-06
13.601,7.8e-05
13.641,0.000143
13.681,0.000155
13.721,0.000119
13.761,7.1e-05
13.801,1.3e-05
13.841,-4.4e-05
13.881,-8.8e-05
13.921,-0.000112
13.961,0.0
14.001,0.000165
14.041,0.000323
14.081,0.000373
14.121,0.000343
14.161,0.000311
14.201,0.000279
14.241,0.00026
14.281,0.000252
14.321,0.000257
14.361,0.000262
14.401,0.000251
14.441,0.000226
14.481,0.000196
14.521,0.000113
14.561,5.4e-05
14.601,0.000112
14.641,0.000263
14.681,0.000406
14.721,0.000489
14.761,0.000464
14.801,0.000409
14.841,0.000316
14.881,0.000267
14.921,0.000217
14.961,0.000163
15.001,9.7e-05
15.041,7.1e-05
15.081,2.6e-05
15.121,-3.1e-05
15.161,-0.000109
15.201,-9.9e-05
15.241,1.3e-05
15.281,0.000172
15.321,0.000303
15.361,0.000377
15.401,0.000383
15.441,0.000351
15.481,0.000294
15.521,0.000284
15.561,0.000284
15.601,0.000277
15.641,0.000194
15.681,7.7e-05
15.721,-5.8e-05
15.761,-0.000164
15.801,-0.000179
15.841,-6.7e-05
15.881,0.00012
15.921,0.000254
15.961,0.000308
16.001,0.000312
16.041,0.000304
16.081,0.000315
16.121,0.000309
16.161,0.000281
16.201,0.000242
16.241,0.000214
16.281,0.000211
16.321,0.000173
16.361,8.9e-05
16.401,4.8e-05
16.441,7.5e-05
16.481,0.000155
16.521,0.000255
16.561,0.000319
16.601,0.000381
16.641,0.000403
16.681,0.000457
16.721,0.000447
16.761,0.000391
16.801,0.000264
16.841,0.000178
16.881,7e-05
16.921,-3.2e-05
16.961,-0.000121
17.001,-0.000113
17.041,2.6e-05
17.081,0.000246
17.121,0.000471
17.161,0.000583
17.201,0.000581
17.241,0.000466
17.281,0.000352
17.321,0.000244
17.361,0.00022
17.401,0.000216
17.441,0.000189
17.481,8.7e-05
17.521,-6.4e-05
17.561,-0.000209
17.601,-0.000331
17.641,-0.000394
17.681,-0.000339
