time_s,SPG
11.477251768112183,27.74
11.52539348602295,27.0
11.557192325592041,27.18
11.605719566345215,28.45
11.63801097869873,26.77
11.686084508895874,28.65
11.71796441078186,26.66
11.765974521636963,28.19
11.798036575317383,27.78
11.845853090286255,27.61
11.87745475769043,28.18
11.928908109664917,28.41
11.962505578994751,28.6
11.994250297546387,28.56
12.042342185974121,26.68
12.074383974075317,27.65
12.12276291847229,26.29
12.154803037643433,27.76
12.20875072479248,27.87
12.235373735427856,27.18
12.282197713851929,28.14
12.314146041870117,28.75
12.36260437965393,28.81
12.394626140594482,28.81
12.449049472808838,29.49
12.479664325714111,27.23
12.527904033660889,27.77
12.560458898544312,27.62
12.60836386680603,28.21
12.64062786102295,27.08
12.688624143600464,28.94
12.720949172973633,26.98
12.769051790237427,27.67
12.800869941711426,27.65
12.84892725944519,27.38
12.880891561508179,26.85
12.919008731842041,28.44
12.955665826797485,27.52
12.997900247573853,28.58
13.045060873031616,27.3
13.077149868011475,29.8
13.124773740768433,27.85
13.15725326538086,27.45
13.205200433731079,29.02
13.245304107666016,26.53
13.285417318344116,26.13
13.317730188369751,28.03
13.365482330322266,28.88
13.397668838500977,28.69
13.445823431015015,28.67
13.477904319763184,28.54
13.528166055679321,28.31
13.562202453613281,29.41
13.594069719314575,27.75
13.642572164535522,27.87
13.674454689025879,28.65
13.722479581832886,28.1
13.754794836044312,30.64
13.802253007888794,29.03
13.834158182144165,27.62
13.882142305374146,27.48
13.913795709609985,28.03
13.961756706237793,26.88
13.99340558052063,29.11
14.047446489334106,28.22
14.07913589477539,29.65
14.127240419387817,28.2
14.158854007720947,27.5
14.20707392692566,28.05
14.23866891860962,29.6
14.286465883255005,28.59
14.328130006790161,29.47
14.36214017868042,27.27
14.394537687301636,28.97
14.44248080253601,28.62
14.474419116973877,28.15
14.52289366722107,27.45
14.568477869033813,28.25
14.596109390258789,28.61
14.644205093383789,27.77
14.676313877105713,29.73
14.72430419921875,29.23
14.756078243255615,29.38
14.804214715957642,29.27
14.836535453796387,28.44
14.884603023529053,31.62
14.916506052017212,29.42
14.964407205581665,27.61
14.99651575088501,29.39
15.044577836990356,29.84
15.076364040374756,28.97
15.11409068107605,28.6
15.161383628845215,28.31
15.193684101104736,28.0
15.241328477859497,27.06
15.28079080581665,28.48
15.321183443069458,26.74
15.353201150894165,26.65
15.401739597320557,27.47
15.434070110321045,27.9
15.482206344604492,27.3
15.51441216468811,27.79
15.562484741210938,29.31
15.594537258148193,28.94
15.64742660522461,27.89
15.679263830184937,27.85
15.727772235870361,28.4
15.759914636611938,28.05
15.807713985443115,28.58
15.839632272720337,28.25
15.887841939926147,29.94
15.9199538230896,28.33
15.96774673461914,29.42
15.999456882476807,29.12
16.047117233276367,27.57
16.07917833328247,27.92
16.127241849899292,28.71
16.16752338409424,29.01
16.19613218307495,29.52
16.24430751800537,28.78
16.276381969451904,27.77
16.324743270874023,28.6
16.356569290161133,28.68
16.40478754043579,27.96
16.43712568283081,29.24
16.485011100769043,28.45
16.52635431289673,29.24
16.56522011756897,28.61
16.597277641296387,29.68
16.645036935806274,27.85
16.68725275993347,28.67
16.71286630630493,28.51
16.761180639266968,28.72
16.79301643371582,29.02
16.841031074523926,28.44
16.872997522354126,28.48
16.920859813690186,28.12
16.95328688621521,28.27
17.00127625465393,29.55
17.033390998840332,28.37
17.08134174346924,29.76
17.11331009864807,27.91
17.160888195037842,27.59
17.19299292564392,27.33
17.246365547180176,26.47
17.278545379638672,26.66
17.326395750045776,26.39
17.35833978652954,27.08
17.406872749328613,26.33
17.439005613327026,27.34
17.4874324798584,27.08
17.51936388015747,26.74
17.55171036720276,27.38
17.59923219680786,24.99
17.647093296051025,26.38
17.678756713867188,26.07
17.726771593093872,26.69
17.764086723327637,24.95
17.795803546905518,24.48
17.843872785568237,21.25
17.87592124938965,21.08
17.923990726470947,19.56
17.96643376350403,20.48
17.997989654541016,20.46
18.04586362838745,20.95
18.07789659500122,22.05
18.125905990600586,19.95
18.15784192085266,21.03
18.20578908920288,22.09
18.238065719604492,22.07
18.28644108772278,21.1
18.32656717300415,21.03
18.363932609558105,20.6
18.398107767105103,19.31
18.44352388381958,18.95
18.476613521575928,17.12
18.523431539535522,17.35
18.555761575698853,17.37
18.6037495136261,16.46
18.636024236679077,16.2
18.684070587158203,15.46
18.715805053710938,16.07
18.763680696487427,16.44
18.806495428085327,16.09
18.846201181411743,17.07
18.878379821777344,17.24
18.926756143569946,17.45
18.958386182785034,16.37
19.006345748901367,16.06
19.03855800628662,15.78
19.0865695476532,16.26
19.118401765823364,16.41
19.166518688201904,15.71
19.198795795440674,13.78
19.246191024780273,13.56
19.277982473373413,13.2
19.32581400871277,12.61
19.365040063858032,12.14
19.39502739906311,13.02
19.44316005706787,13.58
19.47535729408264,13.71
19.52343487739563,13.39
19.555835485458374,13.61
19.603920221328735,13.46
19.635993242263794,13.41
19.683958530426025,13.17
19.715867280960083,12.75
19.763373136520386,13.06
19.79551339149475,12.93
19.84360146522522,13.13
19.88078212738037,12.96
19.912517309188843,13.1
19.96039867401123,13.09
19.992565870285034,12.92
20.040382623672485,13.03
20.072039365768433,13.1
20.119688510894775,13.28
20.151453495025635,13.25
20.199363231658936,13.63
20.230955123901367,13.93
20.279224395751953,13.78
20.311174392700195,13.53
20.3592631816864,13.13
20.40576982498169,13.24
20.444819450378418,12.5
20.476836442947388,12.73
20.524871587753296,12.5
20.557014226913452,12.22
20.60527491569519,11.65
20.637590408325195,12.05
