time_s,K_filt
0.0,1.3e-05
0.04,0.024412
0.08,0.051627
0.12,0.078762
0.16,0.104418
0.2,0.127988
0.24,0.125144
0.28,0.117624
0.32,0.108795
0.36,0.10027
0.4,0.092248
0.44,0.084446
0.48,0.077055
0.52,0.070321
0.56,0.063743
0.6,0.057572
0.64,0.052067
0.68,0.047058
0.72,0.042091
0.76,0.037505
0.8,0.033638
0.84,0.030687
0.88,0.028732
0.92,0.027644
0.96,0.027501
1.0,0.028156
1.04,0.029096
1.08,0.030179
1.12,0.032017
1.16,0.034698
1.2,0.037256
1.24,0.039355
1.28,0.040753
1.32,0.040376
1.36,0.037964
1.4,0.034346
1.44,0.030401
1.48,0.026126
1.52,0.02135
1.56,0.016127
1.6,0.011258
1.64,0.006734
1.68,0.002761
1.72,0.000157
1.76,-0.001099
1.8,-0.001495
1.84,-0.001552
1.88,-0.001365
1.92,-0.001178
1.96,-0.000861
2.0,-0.000802
2.04,-0.000806
2.08,-0.000817
2.12,-0.001052
2.16,-0.001383
2.2,-0.001567
2.24,-0.001532
2.28,-0.001423
2.32,-0.001067
2.36,-0.000719
2.4,-0.000501
2.44,-0.000362
2.48,-0.000227
2.52,-0.000428
2.56,-0.000715
2.6,-0.001094
2.64,-0.001465
2.68,-0.001927
2.72,-0.002116
2.76,-0.0022
2.8,-0.002155
2.84,-0.002285
2.88,-0.002385
2.92,-0.002514
2.96,-0.002723
3.0,-0.002783
3.04,-0.002594
3.08,-0.002314
3.12,-0.001989
3.16,-0.001587
3.2,-0.001477
3.24,-0.001533
3.28,-0.001685
3.32,-0.001899
3.36,-0.002195
3.4,-0.00247
3.44,-0.00288
3.48,-0.003363
3.52,-0.003722
3.56,-0.004148
3.6,-0.004501
3.64,-0.004686
3.68,-0.004625
3.72,-0.004479
3.76,-0.004029
3.8,-0.003277
3.84,-0.002682
3.88,-0.001966
3.92,-0.001445
3.96,-0.001262
4.0,-0.001343
4.04,-0.001486
4.08,-0.00168
4.12,-0.001852
4.16,-0.001797
4.2,-0.001724
4.24,-0.001379
4.28,-0.001291
4.32,-0.001168
4.36,-0.001317
4.4,-0.001871
4.44,-0.002692
4.48,-0.003571
4.52,-0.004601
4.56,-0.005479
4.6,-0.005928
4.64,-0.006132
4.68,-0.006169
4.72,-0.00612
4.76,-0.006022
4.8,-0.005886
4.84,-0.005769
4.88,-0.005673
4.92,-0.005474
4.96,-0.005312
5.0,-0.005197
5.04,-0.004967
5.08,-0.004794
5.12,-0.004641
5.16,-0.00451
5.2,-0.004476
5.24,-0.00462
5.28,-0.004455
5.32,-0.004378
5.36,-0.004045
5.4,-0.003591
5.44,-0.003158
5.48,-0.003002
5.52,-0.002664
5.56,-0.002596
5.6,-0.002837
5.64,-0.003
5.68,-0.003096
5.72,-0.003385
5.76,-0.003732
5.8,-0.003999
5.84,-0.004213
5.88,-0.004445
5.92,-0.004491
5.96,-0.004304
6.0,-0.003885
6.04,-0.003534
6.08,-0.003317
6.12,-0.003198
6.16,-0.003174
6.2,-0.003316
6.24,-0.003436
6.28,-0.003367
6.32,-0.003183
6.36,-0.00297
6.4,-0.002742
6.44,-0.002441
6.48,-0.00215
6.52,-0.001904
6.56,-0.001634
6.6,-0.001253
6.64,-0.000915
6.68,-0.000816
6.72,-0.000879
6.76,-0.000988
6.8,-0.001245
6.84,-0.001515
6.88,-0.001689
6.92,-0.001887
6.96,-0.002001
7.0,-0.002115
7.04,-0.002271
7.08,-0.002257
7.12,-0.002259
7.16,-0.002422
7.2,-0.002486
7.24,-0.002446
7.28,-0.0026
7.32,-0.002622
7.36,-0.002616
7.4,-0.002643
7.44,-0.002724
7.48,-0.002729
7.52,-0.002755
7.56,-0.002829
7.6,-0.002816
7.64,-0.002697
7.68,-0.002536
7.72,-0.002453
7.76,-0.002236
7.8,-0.002027
7.84,-0.001845
7.88,-0.001727
7.92,-0.001531
7.96,-0.001414
8.0,-0.001354
8.04,-0.001299
8.08,-0.001184
8.12,-0.001044
8.16,-0.000895
8.2,-0.000791
8.24,-0.000877
8.28,-0.000978
8.32,-0.001135
8.36,-0.001326
8.4,-0.001458
8.44,-0.00152
8.48,-0.001674
8.52,-0.001756
8.56,-0.001854
8.6,-0.002054
8.64,-0.002232
8.68,-0.002428
8.72,-0.002571
8.76,-0.002748
8.8,-0.002776
8.84,-0.002807
8.88,-0.002811
8.92,-0.002832
8.96,-0.002651
9.0,-0.002606
9.04,-0.002644
9.08,-0.002536
9.12,-0.002489
9.16,-0.00255
9.2,-0.002543
9.24,-0.002451
9.28,-0.002414
9.32,-0.002402
9.36,-0.002316
9.4,-0.002252
9.44,-0.002125
9.48,-0.002007
9.52,-0.001863
9.56,-0.001887
9.6,-0.001935
9.64,-0.001998
9.68,-0.002065
9.72,-0.002137
9.76,-0.002051
9.8,-0.001862
9.84,-0.001832
9.88,-0.001863
9.92,-0.001967
9.96,-0.002137
10.0,-0.002345
10.04,-0.002479
10.08,-0.002598
10.12,-0.002628
10.16,-0.002653
10.2,-0.00269
10.24,-0.002715
10.28,-0.00265
10.32,-0.002595
10.36,-0.002435
10.4,-0.002213
10.44,-0.001948
10.48,-0.00168
10.52,-0.001415
10.56,-0.001187
10.6,-0.000919
10.64,-0.000591
10.68,-0.000285
10.72,0.000152
10.76,0.000566
10.8,0.000824
10.84,0.000994
10.88,0.001208
10.92,0.00124
10.96,0.001125
11.0,0.001008
11.04,0.000867
11.08,0.000688
11.12,0.000526
11.16,0.00044
11.2,0.000329
11.24,0.000328
11.28,0.000346
11.32,0.000426
11.36,0.000435
11.4,0.00047
11.44,0.000434
11.48,0.000354
11.52,0.000303
11.56,0.00029
11.6,0.000337
11.64,0.000378
11.68,0.000418
11.72,0.000355
11.76,0.000326
11.8,0.000275
11.84,0.000197
11.88,7.6e-05
11.92,6e-06
11.96,-6.9e-05
12.0,-7.9e-05
12.04,-0.000157
12.08,-0.000253
12.12,-0.000375
12.16,-0.000422
12.2,-0.000528
12.24,-0.000521
12.28,-0.000566
12.32,-0.000654
12.36,-0.000847
12.4,-0.00098
12.44,-0.001107
12.48,-0.001178
12.52,-0.001197
12.56,-0.001186
12.6,-0.001215
12.64,-0.00122
12.68,-0.001153
12.72,-0.001106
12.76,-0.000955
12.8,-0.000806
12.84,-0.000727
12.88,-0.000677
12.92,-0.000621
12.96,-0.000656
13.0,-0.000762
13.04,-0.000763
13.08,-0.000743
13.12,-0.000705
13.16,-0.000596
13.2,-0.000397
13.24,-0.000297
13.28,-0.000129
13.32,3.1e-05
13.36,8.9e-05
13.4,0.000166
13.44,0.00018
13.48,8.5e-05
13.52,-1.9e-05
13.56,-0.000102
13.6,-0.000163
13.64,-0.000257
13.68,-0.00033
13.72,-0.000399
13.76,-0.000419
13.8,-0.000563
13.84,-0.000629
13.88,-0.000621
13.92,-0.000577
13.96,-0.000588
14.0,-0.000545
14.04,-0.000494
14.08,-0.000541
14.12,-0.000638
14.16,-0.000723
14.2,-0.000701
14.24,-0.000704
14.28,-0.000719
14.32,-0.000647
14.36,-0.000634
14.4,-0.000724
14.44,-0.000747
14.48,-0.000691
14.52,-0.000654
14.56,-0.000587
14.6,-0.000506
14.64,-0.000421
14.68,-0.000439
14.72,-0.000454
14.76,-0.000405
14.8,-0.00038
14.84,-0.000393
14.88,-0.000336
14.92,-0.000276
14.96,-0.000246
15.0,-0.000167
15.04,-0.000107
15.08,-7e-06
15.12,5e-06
15.16,3e-06
15.2,3e-06
15.24,-1.1e-05
15.28,-0.000109
15.32,-0.000191
15.36,-0.000239
15.4,-0.000292
15.44,-0.000265
15.48,-0.000211
15.52,-0.000155
15.56,-0.000181
15.6,-0.000207
15.64,-0.000313
15.68,-0.000384
15.72,-0.000462
15.76,-0.000524
15.8,-0.000645
15.84,-0.000746
15.88,-0.000879
15.92,-0.000975
15.96,-0.00094
16.0,-0.000906
16.04,-0.000833
16.08,-0.000746
16.12,-0.000628
16.16,-0.000615
16.2,-0.000583
16.24,-0.000538
16.28,-0.000506
16.32,-0.000489
16.36,-0.000467
16.4,-0.000393
16.44,-0.000307
16.48,-0.000221
16.52,-0.000151
16.56,-5.1e-05
16.6,5.5e-05
16.64,0.000148
16.68,0.00021
16.72,0.000257
16.76,0.000305
16.8,0.000309
16.84,0.000328
16.88,0.000369
16.92,0.00036
16.96,0.000324
17.0,0.000279
17.04,0.000248
17.08,0.000246
17.12,0.000311
17.16,0.000434
17.2,0.000534
17.24,0.000677
17.28,0.00085
17.32,0.000969
17.36,0.001042
17.4,0.001131
17.44,0.001129
17.48,0.001029
17.52,0.000915
17.56,0.000787
17.6,0.000651
17.64,0.000563
17.68,0.000543
17.72,0.000585
17.76,0.000676
17.8,0.000776
17.84,0.000811
17.88,0.000747
17.92,0.000634
17.96,0.000494
18.0,0.000408
18.04,0.000369
18.08,0.000375
18.12,0.000421
18.16,0.000401
18.2,0.000333
18.24,0.000233
18.28,0.000138
18.32,8.1e-05
18.36,6e-05
18.4,0.000103
18.44,0.000148
18.48,0.000262
18.52,0.000254
18.56,0.000201
18.6,0.000164
18.64,0.000148
18.68,1.5e-05
18.72,-8.9e-05
18.76,-0.000219
18.8,-0.0004
18.84,-0.000554
18.88,-0.000637
18.92,-0.00065
18.96,-0.000679
19.0,-0.000718
19.04,-0.000787
19.08,-0.000911
19.12,-0.001028
19.16,-0.001047
19.2,-0.001009
19.24,-0.000921
19.28,-0.000751
19.32,-0.000634
19.36,-0.000564
19.4,-0.000502
19.44,-0.000524
19.48,-0.00061
19.52,-0.000685
19.56,-0.000661
19.6,-0.000666
19.64,-0.000636
19.68,-0.000563
19.72,-0.000512
19.76,-0.000491
19.8,-0.000502
19.84,-0.000463
19.88,-0.000411
19.92,-0.000353
19.96,-0.000313
20.0,-0.000257
20.04,-0.000279
20.08,-0.000316
20.12,-0.000307
20.16,-0.000335
20.2,-0.000332
20.24,-0.000359
20.28,-0.000433
20.32,-0.000433
20.36,-0.00042
20.4,-0.000398
20.44,-0.000339
20.48,-0.00024
20.52,-0.000176
20.56,-0.000113
20.6,-9.2e-05
20.64,-0.000107
20.68,-0.000116
20.72,-0.00023
20.76,-0.000253
20.8,-0.000367
20.84,-0.000532
20.88,-0.0007
20.92,-0.000821
20.96,-0.001007
21.0,-0.001133
21.04,-0.001162
21.08,-0.00112
21.12,-0.001009
21.16,-0.000935
21.2,-0.0008
21.24,-0.000686
21.28,-0.000652
21.32,-0.000618
21.36,-0.00058
21.4,-0.000535
21.44,-0.000534
21.48,-0.000543
21.52,-0.000661
21.56,-0.000708
21.6,-0.000751
21.64,-0.000671
21.68,-0.000561
21.72,-0.000447
21.76,-0.000395
21.8,-0.000367
21.84,-0.000407
21.88,-0.000451
21.92,-0.000444
21.96,-0.000465
22.0,-0.000508
22.04,-0.000558
22.08,-0.000712
22.12,-0.000833
22.16,-0.000914
22.2,-0.000959
22.24,-0.000974
22.28,-0.000834
22.32,-0.000701
22.36,-0.000587
22.4,-0.000501
22.44,-0.000399
22.48,-0.000333
22.52,-0.00028
22.56,-0.000168
22.6,-4.3e-05
