time_s,K_filt
0.0,0.031366
0.041,0.076032
0.081,0.124011
0.121,0.139117
0.161,0.137128
0.201,0.127219
0.241,0.114045
0.281,0.100261
0.321,0.087152
0.361,0.075236
0.401,0.064551
0.441,0.055115
0.481,0.046825
0.521,0.039719
0.561,0.033634
0.601,0.028515
0.641,0.024138
0.681,0.020341
0.721,0.017125
0.761,0.014335
0.801,0.011948
0.841,0.009914
0.881,0.008257
0.921,0.006966
0.961,0.005889
1.001,0.00491
1.041,0.004024
1.081,0.00327
1.121,0.002835
1.161,0.002479
1.201,0.002201
1.241,0.001822
1.281,0.001441
1.321,0.001071
1.361,0.000749
1.401,0.000555
1.441,0.000395
1.481,0.000366
1.521,0.000239
1.561,0.000164
1.601,7.2e-05
1.641,4.2e-05
1.681,-4.7e-05
1.721,-0.00018
1.761,-0.000309
1.801,-0.000237
1.841,-9.7e-05
1.881,7.3e-05
1.921,0.000164
1.961,0.000183
2.001,0.000194
2.041,0.000146
2.081,0.00011
2.121,7.3e-05
2.161,-6e-06
2.201,-8.2e-05
2.241,-0.000193
2.281,-0.000296
2.321,-0.000399
2.361,-0.000481
2.401,-0.000551
2.441,-0.000643
2.481,-0.00064
2.521,-0.000487
2.561,-0.000269
2.601,-7e-05
2.641,-5.4e-05
2.681,-9e-05
2.721,-0.000175
2.761,-0.000139
2.801,-0.000144
2.841,-0.000152
2.881,-0.000225
2.921,-0.000259
2.961,-0.000335
3.001,-0.000431
3.041,-0.000507
3.081,-0.000593
3.121,-0.000621
3.161,-0.000574
3.201,-0.000353
3.241,-0.000102
3.281,5.5e-05
3.321,6.9e-05
3.361,4.3e-05
3.401,5e-06
3.441,4e-05
3.481,4.1e-05
3.521,7.5e-05
3.561,3.4e-05
3.601,-5.9e-05
3.641,-0.000142
3.681,-0.000183
3.721,-0.000213
3.761,-0.000243
3.801,-0.000247
3.841,-7.4e-05
3.881,0.000176
3.921,0.000404
3.961,0.000502
4.001,0.000454
4.041,0.000386
