time_s,K_filt
0.0,0.057809
0.04,0.111903
0.08,0.163273
0.12,0.212288
0.16,0.260605
0.2,0.249473
0.24,0.239413
0.28,0.229204
0.32,0.218055
0.36,0.204196
0.4,0.188655
0.44,0.17111
0.48,0.153226
0.52,0.138239
0.56,0.127936
0.6,0.120544
0.64,0.114837
0.68,0.110148
0.72,0.105867
0.76,0.100126
0.8,0.094556
0.84,0.091723
0.88,0.090147
0.92,0.08801
0.96,0.085766
1.0,0.082625
1.04,0.078807
1.08,0.075646
1.12,0.072221
1.16,0.068234
1.2,0.064793
1.24,0.06148
1.28,0.058331
1.32,0.055895
1.36,0.05376
1.4,0.051909
1.44,0.05073
1.48,0.049238
1.52,0.047707
1.56,0.046761
1.6,0.046648
1.64,0.046805
1.68,0.046229
1.72,0.045118
1.76,0.044419
1.8,0.044483
1.84,0.044761
1.88,0.046081
1.92,0.048161
1.96,0.049207
2.0,0.047744
2.04,0.045438
2.08,0.043298
2.12,0.040639
2.16,0.038683
2.2,0.042194
2.24,0.05144
2.28,0.058109
2.32,0.061113
2.36,0.059149
2.4,0.050795
2.44,0.036302
2.48,0.024124
2.52,0.015411
2.56,0.010759
2.6,0.008082
2.64,0.006197
2.68,0.004963
2.72,0.004384
2.76,0.004298
2.8,0.004136
2.84,0.003462
2.88,0.002438
2.92,0.001032
2.96,-0.000206
3.0,-0.001452
3.04,-0.002372
3.08,-0.003121
3.12,-0.003681
3.16,-0.004099
3.2,-0.003856
3.24,-0.003295
3.28,-0.003158
3.32,-0.002731
3.36,-0.002644
3.4,-0.002833
3.44,-0.003502
3.48,-0.00393
3.52,-0.004594
3.56,-0.004952
3.6,-0.005507
3.64,-0.005866
3.68,-0.006731
3.72,-0.007986
3.76,-0.009644
3.8,-0.011635
3.84,-0.013505
3.88,-0.014971
3.92,-0.015956
3.96,-0.016702
4.0,-0.017174
4.04,-0.017875
4.08,-0.018923
4.12,-0.020441
4.16,-0.022257
4.2,-0.024087
4.24,-0.025439
4.28,-0.025958
4.32,-0.025586
4.36,-0.024431
4.4,-0.023133
4.44,-0.021866
4.48,-0.020608
4.52,-0.019584
4.56,-0.019118
4.6,-0.01888
4.64,-0.01882
4.68,-0.019201
4.72,-0.01955
4.76,-0.019515
4.8,-0.019287
4.84,-0.019104
4.88,-0.018655
4.92,-0.018346
4.96,-0.01772
5.0,-0.017068
5.04,-0.016404
5.08,-0.016119
5.12,-0.015822
5.16,-0.015781
5.2,-0.015527
5.24,-0.014783
5.28,-0.013846
5.32,-0.012978
5.36,-0.012584
5.4,-0.01219
5.44,-0.012362
5.48,-0.012502
5.52,-0.012768
5.56,-0.012594
5.6,-0.012503
5.64,-0.011941
5.68,-0.011688
5.72,-0.01132
5.76,-0.011105
5.8,-0.010962
5.84,-0.011005
5.88,-0.011104
5.92,-0.011214
5.96,-0.011267
6.0,-0.011267
6.04,-0.011358
6.08,-0.011076
6.12,-0.010748
6.16,-0.010554
6.2,-0.010347
6.24,-0.010054
6.28,-0.009863
6.32,-0.009616
6.36,-0.009205
6.4,-0.008658
6.44,-0.008308
6.48,-0.007852
6.52,-0.007278
6.56,-0.006803
6.6,-0.006492
6.64,-0.006179
6.68,-0.005847
6.72,-0.005621
6.76,-0.00539
6.8,-0.0052
6.84,-0.00485
6.88,-0.004582
6.92,-0.00433
6.96,-0.003693
7.0,-0.002987
7.04,-0.002415
7.08,-0.001846
7.12,-0.001367
7.16,-0.001171
7.2,-0.001086
7.24,-0.000854
7.28,-0.000612
7.32,-0.000162
7.36,0.0003
7.4,0.000829
7.44,0.001329
7.48,0.001722
7.52,0.001946
7.56,0.002155
7.6,0.002252
7.64,0.002177
7.68,0.001927
7.72,0.001852
7.76,0.001544
7.8,0.001419
7.84,0.0014
7.88,0.001546
7.92,0.001507
7.96,0.001352
8.0,0.00098
8.04,0.000616
8.08,0.0003
8.12,-0.000105
8.16,-0.00026
8.2,-0.000324
8.24,-0.000489
8.28,-0.000752
8.32,-0.000925
8.36,-0.001083
8.4,-0.001348
8.44,-0.001652
8.48,-0.0019
8.52,-0.002072
8.56,-0.002308
8.6,-0.002401
8.64,-0.002279
8.68,-0.002215
8.72,-0.002291
8.76,-0.002373
8.8,-0.002421
8.84,-0.002718
8.88,-0.002883
8.92,-0.00295
8.96,-0.003018
9.0,-0.003132
9.04,-0.003169
9.08,-0.003051
9.12,-0.00317
9.16,-0.003232
9.2,-0.003411
9.24,-0.00363
9.28,-0.004075
9.32,-0.004346
9.36,-0.004563
9.4,-0.004553
9.44,-0.004533
9.48,-0.004328
9.52,-0.004104
9.56,-0.003955
9.6,-0.004137
9.64,-0.004012
9.68,-0.00397
9.72,-0.003946
9.76,-0.003814
9.8,-0.00347
9.84,-0.003185
9.88,-0.003032
9.92,-0.002758
9.96,-0.002557
10.0,-0.002429
10.04,-0.002366
10.08,-0.002276
10.12,-0.002405
10.16,-0.002455
10.2,-0.002372
10.24,-0.002401
10.28,-0.002413
10.32,-0.002313
10.36,-0.002279
10.4,-0.002352
10.44,-0.00242
10.48,-0.002476
10.52,-0.00236
