time_s,SPG
0.0,13.04
0.0,13.38
0.002484560012817383,13.52
0.002484560012817383,13.68
0.002484560012817383,13.96
0.002484560012817383,14.23
0.002484560012817383,14.45
0.002484560012817383,14.43
0.002484560012817383,14.37
0.002484560012817383,14.42
0.002484560012817383,14.25
0.002484560012817383,14.07
0.002484560012817383,14.0
0.002484560012817383,14.03
0.002484560012817383,13.1
0.002484560012817383,12.02
0.002484560012817383,11.86
0.002484560012817383,12.13
0.002484560012817383,11.75
0.002484560012817383,10.57
0.002484560012817383,10.12
0.002484560012817383,9.47
0.002484560012817383,8.73
0.002484560012817383,8.3
0.002484560012817383,7.96
0.002484560012817383,7.56
0.002484560012817383,7.45
0.002484560012817383,7.4
0.002484560012817383,7.34
0.002484560012817383,7.24
0.002484560012817383,7.39
0.002484560012817383,7.3
0.002484560012817383,7.3
0.002484560012817383,7.48
0.002484560012817383,7.49
0.002484560012817383,7.43
0.002484560012817383,7.46
0.002484560012817383,7.54
0.002484560012817383,7.65
0.002484560012817383,7.66
0.002484560012817383,7.68
0.002484560012817383,7.82
0.002484560012817383,7.87
0.002484560012817383,8.15
0.002484560012817383,8.05
0.0044879913330078125,8.04
0.0044879913330078125,8.36
0.0044879913330078125,8.38
0.0044879913330078125,8.42
0.0044879913330078125,8.55
0.025358915328979492,8.34
0.06566858291625977,8.28
0.09317946434020996,8.43
0.14225149154663086,8.39
0.18606281280517578,8.38
0.22362899780273438,8.52
0.255565881729126,8.72
0.30366086959838867,8.67
0.335052490234375,8.54
0.38289618492126465,8.55
0.4147646427154541,8.47
0.46585702896118164,8.43
0.4948587417602539,8.42
0.5424039363861084,8.3
0.5817880630493164,8.39
0.6251575946807861,8.54
0.6611087322235107,8.75
0.7052898406982422,9.62
0.741863489151001,12.04
0.7735199928283691,14.05
0.8214731216430664,14.36
0.8535811901092529,14.3
0.907963752746582,14.15
0.9442834854125977,14.06
0.9821979999542236,14.13
1.014503002166748,13.96
1.0626962184906006,14.08
1.0935542583465576,13.99
1.1451539993286133,13.96
1.173208236694336,13.97
1.2255353927612305,14.04
1.2569835186004639,14.31
1.3049702644348145,14.3
1.3372998237609863,14.25
1.3854448795318604,14.27
1.4176924228668213,14.19
1.4499382972717285,14.21
1.4978179931640625,14.27
1.5458190441131592,14.06
1.577756404876709,14.11
1.625478744506836,14.55
1.6534712314605713,15.36
1.713244915008545,15.74
1.7458486557006836,15.68
1.7744975090026855,15.84
1.8220243453979492,15.88
1.853975534439087,15.86
1.9016544818878174,15.59
1.9337682723999023,15.17
1.9817190170288086,15.44
2.013697862625122,16.13
2.0621845722198486,16.24
2.094081163406372,16.26
2.141899585723877,15.46
2.173788070678711,15.58
2.221719264984131,15.85
2.2659053802490234,15.14
2.290945529937744,13.52
2.3387577533721924,13.17
2.371105194091797,12.65
2.418912172317505,11.86
2.4509122371673584,13.55
2.498640775680542,15.13
2.53102707862854,14.8
2.5791800022125244,10.73
2.6112241744995117,9.21
2.665064573287964,8.53
2.7051045894622803,8.25
2.744447946548462,8.14
2.7837789058685303,8.36
2.8236348628997803,8.92
2.855450391769409,8.95
2.904294729232788,8.2
2.942363977432251,7.86
2.9837775230407715,8.04
3.0175113677978516,10.11
3.0640451908111572,12.17
3.094919443130493,13.4
3.1432740688323975,13.61
3.1737518310546875,12.47
3.222198009490967,9.89
3.2540645599365234,8.29
3.301964521408081,7.19
3.3427414894104004,7.46
3.3738160133361816,10.65
3.421694278717041,13.47
3.4539995193481445,13.91
3.5044620037078857,11.82
3.537438154220581,9.45
3.5814368724823,8.26
3.613638401031494,7.67
3.661482572555542,7.26
3.6936233043670654,6.96
3.7412407398223877,6.84
3.773077964782715,6.85
3.82110857963562,6.83
3.8651483058929443,7.06
3.8910634517669678,10.01
3.9390735626220703,11.1
3.9709675312042236,9.34
4.018803596496582,8.94
4.050634145736694,9.23
4.09904670715332,8.94
4.131260633468628,8.29
4.179262399673462,8.77
4.211241245269775,9.51
4.2595460414886475,10.07
4.2918219566345215,10.2
4.33963942527771,10.5
4.371674060821533,10.51
4.424280166625977,10.85
4.462008953094482,10.52
4.504507064819336,10.25
4.535654067993164,9.86
4.583620071411133,9.92
4.615669012069702,9.6
4.663755416870117,9.69
4.696011543273926,10.07
4.744041681289673,10.23
4.775810480117798,9.43
4.823455572128296,8.99
4.855533838272095,8.54
4.904255151748657,8.08
4.941896438598633,7.55
4.973254680633545,7.44
5.021561622619629,6.79
5.053487062454224,6.26
5.101397275924683,6.43
5.132901430130005,7.08
5.180101633071899,7.09
5.212330102920532,6.87
5.260372638702393,7.25
5.292438507080078,7.69
5.340049505233765,10.16
5.371998071670532,12.39
5.419950485229492,11.22
5.460056304931641,11.11
5.490745782852173,12.7
5.538609981536865,13.52
