time_s,K_filt
312.883,0.039811
312.923,0.044387
312.963,0.054842
313.003,0.068446
313.043,0.078326
313.083,0.083671
313.123,0.088915
313.163,0.090565
313.203,0.089076
313.243,0.087754
313.283,0.085239
313.323,0.079061
313.363,0.075984
313.403,0.073581
313.443,0.070076
313.483,0.068197
313.523,0.067456
313.563,0.06312
313.603,0.056213
313.643,0.048988
313.683,0.039241
313.723,0.028639
313.763,0.020901
313.803,0.014507
313.843,0.01068
313.883,0.008381
313.923,0.008314
313.963,0.006521
314.003,0.003932
314.043,0.001595
314.083,0.001107
314.123,0.002371
314.163,0.003416
314.203,0.005389
314.243,0.00789
314.283,0.008206
314.323,0.005988
314.363,0.005649
314.403,0.005578
314.443,0.002594
314.483,0.002921
314.523,0.003921
314.563,0.001639
314.603,0.000586
314.643,-0.000275
314.683,-0.002309
314.723,-0.003754
314.763,-0.004468
314.803,-0.006928
314.843,-0.007456
314.883,-0.008679
314.923,-0.012293
314.963,-0.015625
315.003,-0.018365
315.043,-0.021759
315.083,-0.024586
315.123,-0.025061
315.163,-0.024707
315.203,-0.024097
315.243,-0.023124
315.283,-0.023559
315.323,-0.023121
315.363,-0.022705
315.403,-0.022505
315.443,-0.023014
315.483,-0.02449
315.523,-0.030239
315.563,-0.039963
315.603,-0.049068
315.643,-0.054815
315.683,-0.05815
315.723,-0.06181
315.763,-0.065449
315.803,-0.074698
315.843,-0.090541
315.883,-0.109382
315.923,-0.12509
315.963,-0.136603
316.003,-0.141538
316.043,-0.139715
316.083,-0.133696
316.123,-0.126344
316.163,-0.118168
316.203,-0.110867
316.243,-0.103781
316.283,-0.096139
316.323,-0.087483
316.363,-0.077344
316.403,-0.065089
316.443,-0.051525
316.483,-0.034134
316.523,-0.015345
316.563,0.001758
316.603,0.016743
316.643,0.027
316.683,0.032052
316.723,0.033446
316.763,0.033318
316.803,0.032737
316.843,0.03266
316.883,0.030404
316.923,0.027632
316.963,0.025021
317.003,0.020997
317.043,0.014912
317.083,0.007094
317.123,0.001561
317.163,-0.004654
317.203,-0.009636
317.243,-0.011418
317.283,-0.00989
317.323,-0.007758
317.363,-0.004543
317.403,-0.002337
317.443,-0.004308
317.483,-0.007768
317.523,-0.016254
317.563,-0.026056
317.603,-0.034776
317.643,-0.040728
317.683,-0.045117
317.723,-0.046665
317.763,-0.047337
317.803,-0.04759
317.843,-0.047178
317.883,-0.04731
317.923,-0.04686
317.963,-0.045818
318.003,-0.044667
318.043,-0.042839
318.083,-0.040468
318.123,-0.038922
318.163,-0.036763
318.203,-0.034752
318.243,-0.033309
318.283,-0.032174
318.323,-0.030408
318.363,-0.028959
318.403,-0.027088
318.443,-0.025333
318.483,-0.023822
318.523,-0.021973
318.563,-0.019895
318.603,-0.017935
318.643,-0.015551
318.683,-0.012121
318.723,-0.009078
318.763,-0.007126
318.803,-0.006136
318.843,-0.005918
318.883,-0.00638
318.923,-0.00623
318.963,-0.006207
319.003,-0.006428
319.043,-0.005464
319.083,-0.004739
319.123,-0.005225
319.163,-0.005401
319.203,-0.005152
319.243,-0.00523
319.283,-0.005661
319.323,-0.006083
319.363,-0.005262
319.403,-0.004553
319.443,-0.003612
319.483,-0.002314
319.523,-0.00124
319.563,-0.001178
319.603,-0.000912
319.643,-0.001336
319.683,-0.001799
319.723,-0.001456
319.763,-0.00141
319.803,-0.001741
319.843,-0.00217
319.883,-0.00265
319.923,-0.003092
319.963,-0.003749
